,class_1,class_2,class_3,male,female,age,sipsp,parch,A_ticket,C_ticket,CA_ticket,FC_ticket,numeric_ticket,Others_ticket,PC_ticket,PP_ticket,SC_ticket,SO_ticket,SOTON_ticket,STON_ticket,W_ticket,Fare,Embarked_C,Embarked_Q,Embarked_S,Survival,pc1,pc2
15,0,1,0,0,1,55.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0,0,0,1,1.0,-15.4530393282,26.0649384445
16,0,0,1,1,0,2.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29.125,0,1,0,0.0,-3.86579009594,-27.3983034267
17,0,1,0,1,0,32.7456948403,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,0,0,1,1.0,-19.1030657215,3.93247074378
18,0,0,1,0,1,31.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,0,0,1,0.0,-14.1524731693,1.99102144704
19,0,0,1,0,1,22.5658739058,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.225,1,0,0,1.0,-25.1678356847,-6.0891134015
20,0,1,0,1,0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.0,0,0,1,0.0,-6.04353036017,5.80683569553
21,0,1,0,1,0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,0,0,1,1.0,-19.066545963,5.18531705322
22,0,0,1,0,1,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0292,0,1,0,1.0,-24.5870817959,-13.6699241709
23,1,0,0,1,0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.5,0,0,1,1.0,3.25429290475,-1.45151748598
24,0,0,1,0,1,8.0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21.075,0,0,1,0.0,-11.7381450122,-21.148808744
25,0,0,1,0,1,38.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,31.3875,0,0,1,1.0,-0.550066531649,8.52143410774
26,0,0,1,1,0,25.3001347005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.225,1,0,0,0.0,-25.0917144314,-3.34915215993
27,1,0,0,1,0,19.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,263.0,0,0,1,0.0,230.402884693,-17.1674037529
28,0,0,1,0,1,27.5345532876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8792,0,1,0,1.0,-24.3720612598,-1.14559582926
29,0,0,1,1,0,27.6665920092,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,0,0,1,0.0,-24.3559502891,-1.00498250849
30,1,0,0,1,0,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.7208,1,0,0,0.0,-4.1642665363,10.7623273642
31,1,0,0,0,1,36.2422931723,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,146.5208,1,0,0,1.0,114.477546224,3.52062456061
32,0,0,1,0,1,27.5357551334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.75,0,1,0,1.0,-24.5011656436,-1.14064541805
33,0,1,0,1,0,66.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1,0.0,-20.6321880615,37.2182605215
34,1,0,0,1,0,28.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.1708,1,0,0,0.0,49.9142739358,-2.83547611344
35,1,0,0,1,0,42.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52.0,0,0,1,0.0,20.157644229,12.0219182436
36,0,0,1,1,0,25.3000956312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.2292,1,0,0,1.0,-25.0875175396,-3.34931308661
37,0,0,1,1,0,21.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.394691986,-7.66834707404
38,0,0,1,0,1,18.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,0,0,1,0.0,-14.5274989194,-11.0252358389
39,0,0,1,0,1,14.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.2417,1,0,0,1.0,-21.3989442435,-14.7929844542
40,0,0,1,0,1,40.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.475,0,0,1,0.0,-22.4114332624,11.2279874976
41,0,1,0,0,1,27.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0,0,0,1,0.0,-11.267144142,-2.07899514167
42,0,0,1,1,0,25.2938947766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,1,0,0,0.0,-24.4214108662,-3.37485444973
43,0,1,0,0,1,3.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,41.5792,1,0,0,1.0,8.61565541943,-26.6780594001
44,0,0,1,0,1,19.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8792,0,1,0,1.0,-24.6205492953,-9.67022279614
45,0,0,1,1,0,25.5164340004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.05,0,0,1,0.0,-24.2629707243,-3.15770614493
46,0,0,1,1,0,27.0707923266,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.5,0,1,0,0.0,-16.7683518434,-1.85250384206
47,0,0,1,0,1,27.5357551334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.75,0,1,0,1.0,-24.5011656436,-1.14064541805
48,0,0,1,1,0,18.9114157511,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.6792,1,0,0,0.0,-10.8233553788,-10.2127207477
49,0,0,1,0,1,18.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.8,0,0,1,0.0,-14.730881204,-10.9880536887
50,0,0,1,1,0,7.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,39.6875,0,0,1,0.0,6.83649393925,-22.7103605233
51,0,0,1,1,0,21.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,1,0.0,-24.6445746797,-7.66109095321
52,1,0,0,0,1,49.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76.7292,1,0,0,1.0,45.0901415812,18.2891583563
53,0,1,0,0,1,29.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.0,0,0,1,1.0,-6.21125920909,-0.226443707162
54,1,0,0,1,0,65.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,61.9792,1,0,0,0.0,30.8054404753,34.7223932196
55,1,0,0,1,0,42.894419287,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.5,0,0,1,1.0,3.68795180454,13.4255784828
56,0,1,0,0,1,21.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1,1.0,-21.9388986792,-7.73828172504
57,0,0,1,1,0,28.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.2292,1,0,0,0.0,-24.9943506305,-0.15313044476
58,0,1,0,0,1,5.0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,27.75,0,0,1,1.0,-5.15241327626,-24.2808743442
59,0,0,1,1,0,11.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,46.9,0,0,1,0.0,14.1705117405,-18.9727046285
60,0,0,1,1,0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.2292,1,0,0,0.0,-25.1836015704,-6.64557046098
61,1,0,0,0,1,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80.0,0,0,0,1.0,48.0295569314,7.23637258913
62,1,0,0,1,0,45.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,83.475,0,0,1,0.0,51.7052219564,14.1048834076
63,0,0,1,1,0,4.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,27.9,0,0,1,0.0,-5.0328218502,-25.3479440588
64,1,0,0,1,0,43.2087882232,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.7208,1,0,0,0.0,-4.07084096907,13.9673835278
65,0,0,1,1,0,21.4524919271,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.2458,1,0,0,1.0,-17.1797520811,-7.47107277738
66,0,1,0,0,1,29.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1,1.0,-21.7059744455,0.252413679545
67,0,0,1,1,0,19.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1583,0,0,1,0.0,-24.3444811336,-9.66912557277
68,0,0,1,0,1,17.0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7.925,0,0,1,1.0,-24.6129828727,-11.8235578211
69,0,0,1,1,0,26.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.6625,0,0,1,0.0,-23.631181493,-2.75464372555
70,0,1,0,1,0,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1,0.0,-21.6221160546,3.25780505199
71,0,0,1,0,1,16.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,46.9,0,0,1,0.0,14.3195775833,-13.9874005963
72,0,1,0,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.5,0,0,1,0.0,41.0281329097,-9.55583181164
73,0,0,1,1,0,26.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.4542,1,0,0,0.0,-17.8420534753,-2.89130190426
74,0,0,1,1,0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56.4958,0,0,1,1.0,24.3474148377,1.91279551657
75,0,0,1,1,0,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.65,0,0,1,0.0,-24.6792741911,-3.6613388547
76,0,0,1,1,0,27.6665920092,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,0,0,1,0.0,-24.3559502891,-1.00498250849
77,0,0,1,1,0,27.6651576081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.2018644069,-1.01089081661
78,0,1,0,1,0,0.83,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,29.0,0,0,1,1.0,-4.0328637948,-28.4396477204
79,0,0,1,0,1,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.475,0,0,1,1.0,-19.7074723595,1.18392204537
80,0,0,1,1,0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,0,0,1,0.0,-23.4172542326,-6.69703268391
81,0,0,1,1,0,29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,0,0,1,1.0,-22.7136801407,0.280313553429
82,0,0,1,0,1,27.5354063004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.7875,0,1,0,1.0,-24.463693396,-1.14208226341
83,1,0,0,1,0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.1,0,0,1,0.0,14.8488498935,-1.78820149258
84,0,1,0,0,1,17.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.5,0,0,1,1.0,-22.0552798288,-11.73151766
85,0,0,1,0,1,33.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.85,0,0,1,1.0,-16.2362810177,3.98834343029
86,0,0,1,1,0,16.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,34.375,0,0,1,0.0,1.78657924913,-13.5015279306
87,0,0,1,1,0,25.9678810879,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.05,0,0,1,0.0,-24.2499478239,-2.70659258957
88,1,0,0,0,1,23.0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,263.0,0,0,1,1.0,230.522835006,-13.1809366463
89,0,0,1,1,0,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.3085774103,-4.67178557361
90,0,0,1,1,0,29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.1629997643,0.322399054255
91,0,0,1,1,0,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8542,0,0,1,0.0,-24.6207476529,-8.66145028206
92,1,0,0,1,0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.175,0,0,1,0.0,29.4463305093,15.7510944647
93,0,0,1,1,0,26.0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,20.575,0,0,1,0.0,-11.7193074889,-3.10057220717
94,0,0,1,1,0,59.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.25,0,0,1,0.0,-24.0891585079,30.3107264081
95,0,0,1,1,0,27.6651576081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.2018644069,-1.01089081661
96,1,0,0,1,0,71.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.6542,1,0,0,0.0,3.6684615438,41.5250337042
97,1,0,0,1,0,23.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63.3583,1,0,0,1.0,30.9650233943,-7.26683650472
98,0,1,0,0,1,34.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23.0,0,0,1,1.0,-9.0642740805,4.87161551466
99,0,1,0,1,0,34.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.0,0,0,1,0.0,-6.06916975974,4.77662151643
100,0,0,1,0,1,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,0,0,1,0.0,-24.3427547423,-0.680842891718
101,0,0,1,1,0,27.6665920092,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,0,0,1,0.0,-24.3559502891,-1.00498250849
102,1,0,0,1,0,21.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,77.2875,0,0,1,0.0,44.821852393,-9.6708126716
103,0,0,1,1,0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.6542,0,0,1,0.0,-23.4426211532,4.30021016372
104,0,0,1,1,0,37.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.925,0,0,1,0.0,-24.0480646182,8.2539680122
105,0,0,1,1,0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,0,0,1,0.0,-24.346242939,-0.671962295989
106,0,0,1,0,1,21.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.65,0,0,1,1.0,-24.7922481112,-7.66556715272
107,0,0,1,1,0,27.6677157164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.775,0,0,1,1.0,-24.4766608893,-1.00035395063
108,0,0,1,1,0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,0,0,1,0.0,-24.0550876469,9.31640695974
109,0,0,1,0,1,24.2560673972,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24.15,0,1,0,1.0,-8.20087464975,-4.9238974134
110,1,0,0,1,0,47.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52.0,0,0,1,0.0,20.2997457454,17.047480125
111,0,0,1,0,1,14.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.4542,1,0,0,0.0,-18.1733938645,-14.3868071441
112,0,0,1,1,0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.3668084687,-6.66945942475
113,0,0,1,0,1,20.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.825,0,0,1,0.0,-22.6439080754,-8.75890958306
114,0,0,1,0,1,17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.4583,1,0,0,0.0,-18.0999830949,-11.858456577
115,0,0,1,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.925,0,0,1,0.0,-24.5195333082,-7.66497257878
116,0,0,1,1,0,70.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.75,0,1,0,0.0,-23.2537271139,41.7825094298
117,0,1,0,1,0,29.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.0,0,0,1,0.0,-11.2124012802,-0.0724406947943
118,1,0,0,1,0,24.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,247.5208,1,0,0,0.0,215.070225255,-11.61322099
119,0,0,1,0,1,2.0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,31.275,0,0,1,0.0,-1.71067221703,-27.4838333904
120,0,1,0,1,0,21.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.5,0,0,1,0.0,41.0350851689,-9.61858631869
121,0,0,1,1,0,30.2617709989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-24.125030622,1.58265179589
122,0,1,0,1,0,32.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.0708,1,0,0,0.0,-2.04033141673,3.1602789292
123,0,1,0,0,1,32.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,0,0,1,1.0,-19.1067310601,3.67818106913
124,1,0,0,1,0,54.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,77.2875,0,0,1,0.0,45.7826648569,23.2908058723
125,0,0,1,1,0,12.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.2417,1,0,0,1.0,-21.4606634986,-16.7817777096
126,0,0,1,1,0,30.270015928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.75,0,1,0,0.0,-24.4250443902,1.59931582353
127,0,0,1,1,0,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.1417,0,0,1,1.0,-25.2149764453,-4.64559793603
128,0,0,1,0,1,18.6520691488,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22.3583,1,0,0,1.0,-10.1486370392,-10.4835556889
129,0,0,1,1,0,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.975,0,0,1,0.0,-24.7716468799,16.334991183
130,0,0,1,1,0,33.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8958,1,0,0,0.0,-24.1970435345,4.32228799973
131,0,0,1,1,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.05,0,0,1,0.0,-25.4232366149,-8.63850810427
132,0,0,1,0,1,47.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,1,0.0,-17.1837504022,18.0739472241
133,0,1,0,0,1,29.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.0,0,0,1,1.0,-6.21125920909,-0.226443707162
134,0,1,0,1,0,25.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.0,0,0,1,0.0,-19.3270978218,-3.80661463534
135,0,1,0,1,0,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.0458,1,0,0,0.0,-17.336900059,-5.86179259436
136,1,0,0,0,1,19.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,26.2833,0,0,1,1.0,-6.20968208066,-10.2115726755
137,1,0,0,1,0,37.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53.1,0,0,1,0.0,21.1115504354,6.99580668408
138,0,0,1,1,0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.2167,0,0,1,0.0,-23.3753490889,-12.6963438429
139,1,0,0,1,0,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79.2,1,0,0,0.0,46.8249296632,-6.71322062713
140,0,0,1,0,1,21.1994624571,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,15.2458,1,0,0,0.0,-17.1836311641,-7.71588740704
141,0,0,1,0,1,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.75,0,0,1,1.0,-24.6631795045,-6.66963267548
142,0,0,1,0,1,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.85,0,0,1,1.0,-16.5039410032,-4.93873868169
143,0,0,1,1,0,19.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.75,0,1,0,0.0,-25.752707643,-9.62856775383
144,0,1,0,1,0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.5,0,0,1,0.0,-21.0316905927,-10.752537031
145,0,1,0,1,0,19.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,36.75,0,0,1,0.0,4.24401697314,-10.5349210309
146,0,0,1,1,0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.7958,0,0,1,1.0,-24.4753115457,-1.66789677323
147,0,0,1,0,1,9.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,34.375,0,0,1,0.0,1.58625893412,-20.5190681493
148,0,1,0,1,0,36.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,26.0,0,0,1,0.0,-5.99290519262,7.27593886479
149,0,1,0,1,0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,0,0,1,0.0,-18.8336217293,13.1760124578
150,0,1,0,1,0,51.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.525,0,0,1,0.0,-19.0447902132,22.1790438265
151,1,0,0,0,1,22.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.6,0,0,1,1.0,34.171971155,-8.38745832016
152,0,0,1,1,0,55.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,1,0.0,-23.3902062283,26.7915268582
153,0,0,1,1,0,40.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,1,0.0,-17.3730137946,11.5926128381
154,0,0,1,1,0,29.4597526067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.3125,0,0,1,0.0,-24.8853430305,0.803010471187
155,1,0,0,1,0,51.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,61.3792,1,0,0,0.0,29.8020868555,20.7580397663
156,0,0,1,0,1,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.7333,0,1,0,1.0,-24.853727423,-12.6624989007
157,0,0,1,1,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.05,0,0,1,0.0,-24.1325505479,1.32083666813
158,0,0,1,1,0,27.6594600032,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.6625,0,0,1,0.0,-23.5898176961,-1.03435929082
159,0,0,1,1,0,0.281503995806,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,69.55,0,0,1,0.0,36.5082374973,-30.430270532
160,0,0,1,1,0,44.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.1,0,0,1,0.0,-15.6765681514,15.0567297375
161,0,1,0,0,1,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.75,0,0,1,1.0,-16.1381670561,11.0872413234
162,0,0,1,1,0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.775,0,0,1,0.0,-24.525217315,-2.66612998955
163,0,0,1,1,0,17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.6625,0,0,1,0.0,-23.9001735151,-11.6814215487
164,0,0,1,1,0,1.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,39.6875,0,0,1,0.0,6.661800764,-28.7033820767
165,0,0,1,1,0,9.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,20.525,0,0,1,1.0,-12.2692120579,-20.0455721058
166,1,0,0,0,1,39.3328652233,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,55.0,0,0,1,1.0,23.0820695171,9.27873264138
167,0,0,1,0,1,45.0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,27.9,0,0,1,0.0,-3.8355973415,15.6290915819
168,1,0,0,1,0,45.5981903683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25.925,0,0,1,0.0,-5.79985138506,16.4060631197
169,0,0,1,1,0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56.4958,0,0,1,0.0,24.2309527209,-2.08255218572
170,1,0,0,1,0,61.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33.5,0,0,1,0.0,2.21604381884,31.5681500246
171,0,0,1,1,0,4.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29.125,0,1,0,0.0,-3.80755903752,-25.4006295755
172,0,0,1,0,1,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.1333,0,0,1,1.0,-21.8859410807,-27.78936001
173,0,0,1,1,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.925,0,0,1,0.0,-24.5195333082,-7.66497257878
174,1,0,0,1,0,56.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.6958,1,0,0,0.0,-0.728796267775,26.6554215207
175,0,0,1,1,0,18.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8542,0,0,1,0.0,-24.6720266448,-10.7050774963
176,0,0,1,1,0,17.4758492647,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25.4667,0,0,1,0.0,-7.07609953874,-11.8025668249
177,1,0,0,0,1,50.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.7125,1,0,0,0.0,-2.87838837807,20.713032444
178,0,1,0,1,0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.0,0,0,1,0.0,-19.1830080798,1.18996935092
